Competencia;DataBase;SalarioMinimo;SalarioMinimoReferencia;TetoContribuicao;TetoBeneficio;Integral;Proporcional;MultiplicadorMoeda;AjusteMoeda;IndiceAtualizacao;IndiceAcumulado;IndiceRes134;IndiceRes134Acumulado;IndiceSalarios;IndiceSalariosAcumulado;IPCA;IPCAE;IndiceCondenatorias;IndiceCondenatoriasAcumulado;Selic;Juros;JurosAlt
01/10/1964;0;0;0;210000.0;210000.0;0.0;0.0;1;0.000001;1.0;0.01123947629431;1;0.00562997371285;1;8752.22702770986462;0;0;1;0.00000804861063;0;1.0;0.5
01/10/1964;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/11/1964;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/11/1964;0;0;0;210000.0;210000.0;0.0;0.0;1;0.000001;1.0;0.01123947629431;1;0.00562997371285;1;8752.22702770986462;0;0;1;0.00000804861063;0;1.0;0.5
01/12/1964;0;0;0;210000.0;210000.0;0.0;0.0;1;0.000001;1.13;0.01123947629431;1.13;0.00562997371285;1.13;8752.22702770986462;0;0;1.13;0.00000804861063;0;1.0;0.5
01/12/1964;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/1965;0;0;0;210000.0;210000.0;0.0;0.0;1;0.000001;1.0;0.00994643919851;1;0.00498227762199;1;7745.33365284058816;0;0;1;0.00000712266428;0;1.0;0.5
01/01/1965;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/02/1965;0;0;0;210000.0;210000.0;0.0;0.0;1;0.000001;1.0;0.00994643919851;1;0.00498227762199;1;7745.33365284058816;0;0;1;0.00000712266428;0;1.0;0.5
01/02/1965;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/03/1965;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/03/1965;0;0;0;330000.0;330000.0;0.0;0.0;1;0.000001;1.185840708;0.00994643919851;1.185840708;0.00498227762199;1.185840708;7745.33365284058816;0;0;1.185840708;0.00000712266428;0;1.0;0.5
01/04/1965;0;0;0;330000.0;330000.0;0.0;0.0;1;0.000001;1.0;0.0083876688761;1;0.00420147291991;1;6531.5127070511971;0;0;1;0.00000600642584;0;1.0;0.5
01/04/1965;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/05/1965;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/05/1965;0;0;0;330000.0;330000.0;0.0;0.0;1;0.000001;1.0;0.0083876688761;1;0.00420147291991;1;6531.5127070511971;0;0;1;0.00000600642584;0;1.0;0.5
01/06/1965;0;0;0;330000.0;330000.0;0.0;0.0;1;0.000001;1.1343283582;0.0083876688761;1.1343283582;0.00420147291991;1.1343283582;6531.5127070511971;0;0;1.1343283582;0.00000600642584;0;1.0;0.5
01/06/1965;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/07/1965;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/07/1965;0;0;0;330000.0;330000.0;0.0;0.0;1;0.000001;1.0;0.00739439229873;1;0.00370393007416;1;5758.04409705111884;0;0;1;0.00000529513857;0;1.0;0.5
01/08/1965;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/08/1965;0;0;0;330000.0;330000.0;0.0;0.0;1;0.000001;1.0328947368;0.00739439229873;1.0328947368;0.00370393007416;1.0328947368;5758.04409705111884;0;0;1.0328947368;0.00000529513857;0;1.0;0.5
01/09/1965;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/09/1965;0;0;0;330000.0;330000.0;0.0;0.0;1;0.000001;1.0127388535;0.00715890209842;1.0127388535;0.00358597051781;1.0127388535;5574.66689673533715;0;0;1.0127388535;0.00000512650359;0;1.0;0.5
01/10/1965;0;0;0;330000.0;330000.0;0.0;0.0;1;0.000001;1.0094339623;0.00706885301545;1.0094339623;0.00354086397042;1.0094339623;5504.54530056729689;0;0;1.0094339623;0.00000506201927;0;1.0;0.5
01/10/1965;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/11/1965;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/11/1965;0;0;0;330000.0;330000.0;0.0;0.0;1;0.000001;1.015576324;0.00700278896832;1.015576324;0.00350777178366;1.015576324;5453.10095177020268;0;0;1.015576324;0.00000501471067;0;1.0;0.5
01/12/1965;0;0;0;330000.0;330000.0;0.0;0.0;1;0.000001;1.018404908;0.00689538422946;1.018404908;0.00345397160289;1.018404908;5369.46443403913252;0;0;1.018404908;0.00000493779793;0;1.0;0.5
01/12/1965;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/1966;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/01/1966;0;0;0;330000.0;330000.0;0.0;0.0;1;0.000001;1.0271084337;0.00677076885166;1.0271084337;0.00339155042926;1.0271084337;5272.42592004390902;0;0;1.0271084337;0.00000484856062;0;1.0;0.5
01/02/1966;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/02/1966;0;0;0;330000.0;330000.0;0.0;0.0;1;0.000001;1.0146627566;0.0065920682077;1.0146627566;0.00330203736819;1.0146627566;5133.27098391238633;0;0;1.0146627566;0.00000472059275;0;1.0;0.5
01/03/1966;0;0;0;420000.0;420000.0;0.0;0.0;1;0.000001;1.0173410405;0.00649680710642;1.0173410405;0.00325432006517;1.0173410405;5059.09076737308752;0;0;1.0173410405;0.00000465237609;0;1.0;0.5
01/03/1966;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/04/1966;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/04/1966;0;0;0;420000.0;420000.0;0.0;0.0;1;0.000001;1.0386363636;0.00638606607597;1.0386363636;0.00319884870031;1.0386363636;4972.85626547284418;0;0;1.0386363636;0.00000457307422;0;1.0;0.5
01/05/1966;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/05/1966;0;0;0;420000.0;420000.0;0.0;0.0;1;0.000001;1.0443107221;0.00614851000771;1.0443107221;0.00307985432863;1.0443107221;4787.87036517430496;0;0;1.0443107221;0.00000440295986;0;1.0;0.5
01/06/1966;0;0;0;420000.0;420000.0;0.0;0.0;1;0.000001;1.0408590885;0.00588762508858;1.0408590885;0.0029491742864;1.0408590885;4584.71819148461557;0;0;1.0408590885;0.00000421613967;0;1.0;0.5
01/06/1966;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/07/1966;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/07/1966;0;0;0;420000.0;420000.0;0.0;0.0;1;0.000001;1.0281831907;0.00565650543251;1.0281831907;0.00283340398233;1.0281831907;4404.74435217905634;0;0;1.0281831907;0.00000405063444;0;1.0;0.5
01/08/1966;0;0;0;420000.0;420000.0;0.0;0.0;1;0.000001;1.0283896231;0.00550145682567;1.0283896231;0.00275573847925;1.0283896231;4284.00735590731763;0;0;1.0283896231;0.00000393960383;0;1.0;0.5
01/08/1966;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/09/1966;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/09/1966;0;0;0;420000.0;420000.0;0.0;0.0;1;0.000001;1.0285578296;0.00534958414796;1.0285578296;0.002679663833;1.0285578296;4165.7434688941268;0;0;1.0285578296;0.00000383084752;0;1.0;0.5
01/10/1966;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/10/1966;0;0;0;420000.0;420000.0;0.0;0.0;1;0.000001;1.0263766775;0.00520105335258;1.0263766775;0.00260526317129;1.0263766775;4050.08191956903344;0;0;1.0263766775;0.00000372448433;0;1.0;0.5
01/11/1966;0;0;0;420000.0;420000.0;0.0;0.0;1;0.000001;1.022993688;0.00506739237806;1.022993688;0.00253831096166;1.022993688;3945.99956171454747;0;0;1.022993688;0.00000362876945;0;1.0;0.5
01/11/1966;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/12/1966;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01/12/1966;0;0;0;840000.0;840000.0;0.0;0.0;1;0.000001;1.0237990304;0.00495349329864;1.0237990304;0.00248125769634;1.0237990304;3857.30587392885993;0;0;1.0237990304;0.0000035472061;0;1.0;0.5
01/01/1967;0;0;0;840000.0;840000.0;0.0;0.0;1;0.000001;0.0010236763;0.00483834537009;0.0010236763;0.00242357886916;0.0010236763;3767.63970212181589;0;0;0.0010236763;0.00000346474844;0;1.0;0.5
01/01/1967;false;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
