CompetenciaIndices,SalarioMinimo,SMReferencia,TetoContribuicao,TetoBeneficio,DataBase,FatorIntegral,FatorProporcional,MultiplicadorMoeda,AjusteMoeda,IndiceAtualizacao,IndiceAcumulado,IndiceRes134,IndiceRes134Acumulado,IndiceSalarios,IndiceSCAcumulado,IPCA,IPCAE,IndiceCondenatorias,IndiceCondenatoriasAcumulado,Selic,Juros
10/1964,"42.000,00",-,"210.000,00","210.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0000000000","0,01054207234423","1,0000000000","0,0055912356","1,0000000000","8.209,1562111394",-,-,"1,0000000000","0,0000074715","0,00%","1,0000%"
11/1964,"42.000,00",-,"210.000,00","210.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0000000000","0,01054207234423","1,0000000000","0,0055912356","1,0000000000","8.209,1562111394",-,-,"1,0000000000","0,0000074715","0,00%","1,0000%"
12/1964,"42.000,00",-,"210.000,00","210.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,1300000000","0,01054207234423","1,1300000000","0,0055912356","1,1300000000","8.209,1562111394",-,-,"1,1300000000","0,0000074715","0,00%","1,0000%"
01/1965,"42.000,00",-,"210.000,00","210.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0000000000","0,00932926756127","1,0000000000","0,0049479961","1,0000000000","7.264,7400098579",-,-,"1,0000000000","0,0000066120","0,00%","1,0000%"
02/1965,"42.000,00",-,"210.000,00","210.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0000000000","0,00932926756127","1,0000000000","0,0049479961","1,0000000000","7.264,7400098579",-,-,"1,0000000000","0,0000066120","0,00%","1,0000%"
03/1965,"66.000,00",-,"330.000,00","330.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,1858407080","0,00932926756127","1,1858407080","0,0049479961","1,1858407080","7.264,7400098579",-,-,"1,1858407080","0,0000066120","0,00%","1,0000%"
04/1965,"66.000,00",-,"330.000,00","330.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0000000000","0,00786721816734","1,0000000000","0,0041725639","1,0000000000","6.126,2359784623",-,-,"1,0000000000","0,0000055758","0,00%","1,0000%"
05/1965,"66.000,00",-,"330.000,00","330.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0000000000","0,00786721816734","1,0000000000","0,0041725639","1,0000000000","6.126,2359784623",-,-,"1,0000000000","0,0000055758","0,00%","1,0000%"
06/1965,"66.000,00",-,"330.000,00","330.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,1343283582","0,00786721816734","1,1343283582","0,0041725639","1,1343283582","6.126,2359784623",-,-,"1,1343283582","0,0000055758","0,00%","1,0000%"
07/1965,"66.000,00",-,"330.000,00","330.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0000000000","0,00693557391068","1,0000000000","0,0036784445","1,0000000000","5.400,7606652233",-,-,"1,0000000000","0,0000049155","0,00%","1,0000%"
08/1965,"66.000,00",-,"330.000,00","330.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0328947368","0,00693557391068","1,0328947368","0,0036784445","1,0328947368","5.400,7606652233",-,-,"1,0328947368","0,0000049155","0,00%","1,0000%"
09/1965,"66.000,00",-,"330.000,00","330.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0127388535","0,00671469576066","1,0127388535","0,0035612966","1,0127388535","5.228,7619179232",-,-,"1,0127388535","0,0000047589","0,00%","1,0000%"
10/1965,"66.000,00",-,"330.000,00","330.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0094339623","0,00663023417876","1,0094339623","0,0035165004","1,0094339623","5.162,9913277606",-,-,"1,0094339623","0,0000046991","0,00%","1,0000%"
11/1965,"66.000,00",-,"330.000,00","330.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0155763240","0,00656826937335","1,0155763240","0,0034836359","1,0155763240","5.114,7390723610",-,-,"1,0155763240","0,0000046551","0,00%","1,0000%"
12/1965,"66.000,00",-,"330.000,00","330.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0184049080","0,00646752904554","1,0184049080","0,0034302059","1,0184049080","5.036,2921540733",-,-,"1,0184049080","0,0000045837","0,00%","1,0000%"
01/1966,"66.000,00",-,"330.000,00","330.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0271084337","0,00635064599050","1,0271084337","0,0033682142","1,0271084337","4.945,2748259876",-,-,"1,0271084337","0,0000045009","0,00%","1,0000%"
02/1966,"66.000,00",-,"330.000,00","330.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0146627566","0,00618303363298","1,0146627566","0,0032793171","1,0146627566","4.814,7543760349",-,-,"1,0146627566","0,0000043821","0,00%","1,0000%"
03/1966,"84.000,00",-,"420.000,00","420.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0173410405","0,00609368343597","1,0173410405","0,0032319281","1,0173410405","4.745,1770006586",-,-,"1,0173410405","0,0000043188","0,00%","1,0000%"
04/1966,"84.000,00",-,"420.000,00","420.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0386363636","0,00598981383195","1,0386363636","0,0031768384","1,0386363636","4.664,2933017838",-,-,"1,0386363636","0,0000042452","0,00%","1,0000%"
05/1966,"84.000,00",-,"420.000,00","420.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0443107221","0,00576699800013","1,0443107221","0,0030586628","1,0443107221","4.490,7856734898",-,-,"1,0443107221","0,0000040873","0,00%","1,0000%"
06/1966,"84.000,00",-,"420.000,00","420.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0408590885","0,00552230086131","1,0408590885","0,0029288819","1,0408590885","4.300,2389791197",-,-,"1,0408590885","0,0000039138","0,00%","1,0000%"
07/1966,"84.000,00",-,"420.000,00","420.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0281831907","0,00530552206554","1,0281831907","0,0028139082","1,0281831907","4.131,4324162755",-,-,"1,0281831907","0,0000037602","0,00%","1,0000%"
08/1966,"84.000,00",-,"420.000,00","420.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0283896231","0,00516009414794","1,0283896231","0,0027367771","1,0283896231","4.018,1870832792",-,-,"1,0283896231","0,0000036571","0,00%","1,0000%"
09/1966,"84.000,00",-,"420.000,00","420.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0285578296","0,00501764509483","1,0285578296","0,0026612259","1,0285578296","3.907,2614046356",-,-,"1,0285578296","0,0000035562","0,00%","1,0000%"
10/1966,"84.000,00",-,"420.000,00","420.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0263766775","0,00487833056188","1,0263766775","0,0025873372","1,0263766775","3.798,7765900692",-,-,"1,0263766775","0,0000034574","0,00%","1,0000%"
11/1966,"84.000,00",-,"420.000,00","420.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0229936880","0,00475296318496","1,0229936880","0,0025208456","1,0229936880","3.701,1524847337",-,-,"1,0229936880","0,0000033686","0,00%","1,0000%"
12/1966,"84.000,00",-,"840.000,00","840.000,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0237990304","0,00464613148710","1,0237990304","0,0024641849","1,0237990304","3.617,9621908944",-,-,"1,0237990304","0,0000032929","0,00%","1,0000%"
01/1967,"84.000,00",-,"840.000,00","840.000,00",FALSE,-,-,"1,0000000000","0,0000010000","0,0010236763","0,00453812843058","0,0010236763","0,0024069030","0,0010236763","3.533,8597551181",-,-,"0,0010236763","0,0000032163","0,00%","1,0000%"
02/1967,"84,00",-,"840,00","840,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0210260723","4,43316751229281","1,0210260723","2,3512344947","1,0210260723","3.452.126,2452229300",-,-,"1,0210260723","0,0031419296","0,00%","1,0000%"
03/1967,"105,00",-,"1.050,00","1.050,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0148270181","4,34187493584527","1,0148270181","2,3028153329","1,0148270181","3.381.036,3307825800",-,-,"1,0148270181","0,0030772276","0,00%","1,0000%"
04/1967,"105,00",-,"1.050,00","1.050,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0150162338","4,27843845139299","1,0150162338","2,2691703037","1,0150162338","3.331.638,0727029700",-,-,"1,0150162338","0,0030322681","0,00%","1,0000%"
05/1967,"105,00",-,"1.050,00","1.050,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0179928029","4,21514288054071","1,0179928029","2,2356000113","1,0179928029","3.282.349,5446381900",-,-,"1,0179928029","0,0029874084","0,00%","1,0000%"
06/1967,"105,00",-,"1.050,00","1.050,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0282796544","4,14064114070398","1,0282796544","2,1960862641","1,0282796544","3.224.334,7255067200",-,-,"1,0282796544","0,0029346066","0,00%","1,0000%"
07/1967,"105,00",-,"1.050,00","1.050,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0252100840","4,02676560131104","1,0252100840","2,1356896976","1,0252100840","3.135.659,3625439600",-,-,"1,0252100840","0,0028538994","0,00%","1,0000%"
08/1967,"105,00",-,"1.050,00","1.050,00",FALSE,-,-,"1,0000000000","0,0000010000","1,0152757079","3,92774677504930","1,0152757079","2,0831727378","1,0152757079","3.058.552,9847765000",-,-,"1,0152757079","0,0027837215","0,00%","1,0000%"
