CompetenciaIndices,SalarioMinimo,SMReferencia,TetoContribuicao,TetoBeneficio,DataBase,FatorIntegral,FatorProporcional,MultiplicadorMoeda,AjusteMoeda,IndiceAtualizacao,IndiceAcumulado,IndiceRes134,IndiceRes134Acumulado,IndiceSalarios,IndiceSCAcumulado,IPCA,IPCAE,IndiceCondenatorias,IndiceCondenatoriasAcumulado,Selic,Juros
10/1964,42000,-,210000,210000,FALSE,-,-,1,"0,000001",1,"0,0112394753",1,"0,0056208057",1,"8752,2268603778",-,-,1,"0,0000079935","0,00%","1,0000%"
11/1964,42000,-,210000,210000,FALSE,-,-,1,"0,000001",1,"0,0112394753",1,"0,0056208057",1,"8752,2268603778",-,-,1,"0,0000079935","0,00%","1,0000%"
12/1964,42000,-,210000,210000,FALSE,-,-,1,"0,000001","1,13","0,0112394753","1,13","0,0056208057","1,13","8752,2268603778",-,-,"1,13","0,0000079935","0,00%","1,0000%"
01/1965,42000,-,210000,210000,FALSE,-,-,1,"0,000001",1,"0,0099464383",1,"0,0049741643",1,"7745,3335047591",-,-,1,"0,0000070739","0,00%","1,0000%"
02/1965,42000,-,210000,210000,FALSE,-,-,1,"0,000001",1,"0,0099464383",1,"0,0049741643",1,"7745,3335047591",-,-,1,"0,0000070739","0,00%","1,0000%"
03/1965,66000,-,330000,330000,FALSE,-,-,1,"0,000001","1,185840708","0,0099464383","1,185840708","0,0049741643","1,185840708","7745,3335047591",-,-,"1,185840708","0,0000070739","0,00%","1,0000%"
04/1965,66000,-,330000,330000,FALSE,-,-,1,"0,000001",1,"0,0083876682",1,"0,0041946311",1,"6531,5125823715",-,-,1,"0,0000059653","0,00%","1,0000%"
05/1965,66000,-,330000,330000,FALSE,-,-,1,"0,000001",1,"0,0083876682",1,"0,0041946311",1,"6531,5125823715",-,-,1,"0,0000059653","0,00%","1,0000%"
06/1965,66000,-,330000,330000,FALSE,-,-,1,"0,000001","1,1343283582","0,0083876682","1,1343283582","0,0041946311","1,1343283582","6531,5125823715",-,-,"1,1343283582","0,0000059653","0,00%","1,0000%"
07/1965,66000,-,330000,330000,FALSE,-,-,1,"0,000001",1,"0,0073943917",1,"0,0036978985",1,"5758,0439870907",-,-,1,"0,0000052589","0,00%","1,0000%"
08/1965,66000,-,330000,330000,FALSE,-,-,1,"0,000001","1,0328947368","0,0073943917","1,0328947368","0,0036978985","1,0328947368","5758,0439870907",-,-,"1,0328947368","0,0000052589","0,00%","1,0000%"
09/1965,66000,-,330000,330000,FALSE,-,-,1,"0,000001","1,0127388535","0,0071589015","1,0127388535","0,003580131","1,0127388535","5574,6667900496",-,-,"1,0127388535","0,0000050914","0,00%","1,0000%"
10/1965,66000,-,330000,330000,FALSE,-,-,1,"0,000001","1,0094339623","0,0070688524","1,0094339623","0,0035350979","1,0094339623","5504,5451952062",-,-,"1,0094339623","0,0000050273","0,00%","1,0000%"
