COMPETENCIA;INDICE_CALCULADO;INDICE_GOOGLE;ACUMULADO_CALCULADO;ACUMULADO_GOOGLE
01/10/1964;1,0;1,00000000000000;8209,156368088263;8.209,15621113940000
01/11/1964;1,0;1,00000000000000;8209,156368088263;8.209,15621113940000
01/12/1964;1,13;1,13000000000000;8209,156368088263;8.209,15621113940000
01/01/1965;1,0;1,00000000000000;7264,740148750675;7.264,74000985790000
01/02/1965;1,0;1,00000000000000;7264,740148750675;7.264,74000985790000
01/03/1965;1,185840708;1,18584070800000;7264,740148750675;7.264,74000985790000
01/04/1965;1,0;1,00000000000000;6126,236095405383;6.126,23597846230000
01/05/1965;1,0;1,00000000000000;6126,236095405383;6.126,23597846230000
01/06/1965;1,1343283582;1,13432835820000;6126,236095405383;6.126,23597846230000
01/07/1965;1,0;1,00000000000000;5400,760768360541;5.400,76066522330000
01/08/1965;1,0328947368;1,03289473680000;5400,760768360541;5.400,76066522330000
01/09/1965;1,0127388535;1,01273885350000;5228,762017988957;5.228,76191792320000
01/10/1965;1,0094339623;1,00943396230000;5162,991426583949;5.162,99132776060000
01/11/1965;1,015576324;1,01557632400000;5114,739170079089;5.114,73907236100000
01/12/1965;1,018404908;1,01840490800000;5036,292250230805;5.036,29215407330000
01/01/1966;1,0271084337;1,02710843370000;4945,274920288193;4.945,27482598760000
01/02/1966;1,0146627566;1,01466275660000;4814,754468010356;4.814,75437603490000
01/03/1966;1,0173410405;1,01734104050000;4745,177091296775;4.745,17700065860000
01/04/1966;1,0386363636;1,03863636360000;4664,293390704683;4.664,29330178380000
01/05/1966;1,0443107221;1,04431072210000;4490,785759260204;4.490,78567348980000
01/06/1966;1,0408590885;1,04085908850000;4300,239061253438;4.300,23897911970000
01/07/1966;1,0281831907;1,02818319070000;4131,432495296349;4.131,43241627550000
01/08/1966;1,0283896231;1,02838962310000;4018,187160289615;4.018,18708327920000
01/09/1966;1,0285578296;1,02855782960000;3907,2614795325376;3.907,26140463560000
01/10/1966;1,0263766775;1,02637667750000;3798,7766629048447;3.798,77659006920000
