COMPETENCIA;VALOR;VALOR_GOOGLE
01/10/1964;0,01;1,00000000000000;
01/11/1964;0,01;1,00000000000000;
01/12/1964;0,01;1,00000000000000;
01/01/1965;0,01;1,00000000000000;
01/02/1965;0,01;1,00000000000000;
01/03/1965;0,01;1,00000000000000;
01/04/1965;0,01;1,00000000000000;
01/05/1965;0,01;1,00000000000000;
01/06/1965;0,01;1,00000000000000;
01/07/1965;0,01;1,00000000000000;
01/08/1965;0,01;1,00000000000000;
01/09/1965;0,01;1,00000000000000;
01/10/1965;0,01;1,00000000000000;
01/11/1965;0,01;1,00000000000000;
01/12/1965;0,01;1,00000000000000;
01/01/1966;0,01;1,00000000000000;
01/02/1966;0,01;1,00000000000000;
01/03/1966;0,01;1,00000000000000;
01/04/1966;0,01;1,00000000000000;
01/05/1966;0,01;1,00000000000000;
01/06/1966;0,01;1,00000000000000;
01/07/1966;0,01;1,00000000000000;
01/08/1966;0,01;1,00000000000000;
01/09/1966;0,01;1,00000000000000;
01/10/1966;0,01;1,00000000000000;
01/11/1966;0,01;1,00000000000000;
01/12/1966;0,01;1,00000000000000;
01/01/1967;0,01;1,00000000000000;
01/02/1967;0,01;1,00000000000000;
01/03/1967;0,01;1,00000000000000;
01/04/1967;0,01;1,00000000000000;
01/05/1967;0,01;1,00000000000000;
01/06/1967;0,01;1,00000000000000;
01/07/1967;0,01;1,00000000000000;
01/08/1967;0,01;1,00000000000000;
01/09/1967;0,01;1,00000000000000;
01/10/1967;0,01;1,00000000000000;
01/11/1967;0,01;1,00000000000000;
01/12/1967;0,01;1,00000000000000;
01/01/1968;0,01;1,00000000000000;
01/02/1968;0,01;1,00000000000000;
01/03/1968;0,01;1,00000000000000;
01/04/1968;0,01;1,00000000000000;
01/05/1968;0,01;1,00000000000000;
01/06/1968;0,01;1,00000000000000;
01/07/1968;0,01;1,00000000000000;
01/08/1968;0,01;1,00000000000000;
01/09/1968;0,01;1,00000000000000;
01/10/1968;0,01;1,00000000000000;
01/11/1968;0,01;1,00000000000000;
01/12/1968;0,01;1,00000000000000;
01/01/1969;0,01;1,00000000000000;
01/02/1969;0,01;1,00000000000000;
01/03/1969;0,01;1,00000000000000;
01/04/1969;0,01;1,00000000000000;
01/05/1969;0,01;1,00000000000000;
01/06/1969;0,01;1,00000000000000;
01/07/1969;0,01;1,00000000000000;
01/08/1969;0,01;1,00000000000000;
01/09/1969;0,01;1,00000000000000;
01/10/1969;0,01;1,00000000000000;
01/11/1969;0,01;1,00000000000000;
01/12/1969;0,01;1,00000000000000;
01/01/1970;0,01;1,00000000000000;
01/02/1970;0,01;1,00000000000000;
01/03/1970;0,01;1,00000000000000;
01/04/1970;0,01;1,00000000000000;
01/05/1970;0,01;1,00000000000000;
01/06/1970;0,01;1,00000000000000;
01/07/1970;0,01;1,00000000000000;
01/08/1970;0,01;1,00000000000000;
01/09/1970;0,01;1,00000000000000;
01/10/1970;0,01;1,00000000000000;
01/11/1970;0,01;1,00000000000000;
01/12/1970;0,01;1,00000000000000;
01/01/1971;0,01;1,00000000000000;
01/02/1971;0,01;1,00000000000000;
01/03/1971;0,01;1,00000000000000;
01/04/1971;0,01;1,00000000000000;
01/05/1971;0,01;1,00000000000000;
01/06/1971;0,01;1,00000000000000;
01/07/1971;0,01;1,00000000000000;
01/08/1971;0,01;1,00000000000000;
01/09/1971;0,01;1,00000000000000;
01/10/1971;0,01;1,00000000000000;
01/11/1971;0,01;1,00000000000000;
01/12/1971;0,01;1,00000000000000;
01/01/1972;0,01;1,00000000000000;
